Il	O
punto	O
di	O
forza	O
della	O
risoluzione	O
n	O
.	O

1325	O
,	O
importante	O
documento	O
e	O
strumento	O
giuridico	O
,	O
è	O
il	O
suo	O
carattere	O
innovativo	O
,	O
perché	O
ci	O
dà	O
alcune	O
indicazioni	O
fondamentali	O
su	O
come	O
promuovere	O
una	O
cultura	O
che	O
non	O
discrimini	O
le	O
donne	O
,	O
su	O
come	O
adottare	O
ogni	O
misura	O
per	O
prevenire	O
le	O
forme	B-STR
di	O
violenza	O
,	O
su	O
come	O
proteggere	O
le	O
donne	O
vittime	O
di	O
violenza	O
,	O
su	O
come	O
punire	O
gli	O
autori	O
dei	O
crimini	O
commessi	O
nei	O
confronti	O
delle	O
donne	O
e	O
anche	O
su	O
come	O
risarcire	O
le	O
vittime	O
di	O
violenza	O
.	O

La	O
successiva	O
risoluzione	O
,	O
la	O
n	O
.	O

1820	O
del	O
2008	O
,	O
segna	O
quindi	O
un	O
passo	O
ulteriore	O
,	O
perché	O
arriva	O
a	O
collegare	B-ONT
la	O
violenza	O
sessuale	O
a	O
una	O
tattica	O
di	O
guerra	O
e	O
riconosce	O
l'	O
impatto	B-ONT
che	O
la	O
violenza	O
sessuale	O
ha	O
nei	O
conflitti	O
,	O
definendo	O
gli	O
stupri	O
e	O
le	O
altre	O
forme	O
di	O
abuso	O
sessuale	O
come	O
un	O
crimine	O
di	O
guerra	O
e	O
un	O
crimine	O
contro	O
l'	O
umanità	O
,	O
come	O
ribadisce	O
anche	O
la	O
nostra	O
mozione	O
.	O

Questo	O
è	O
il	O
punto	O
:	O
si	O
tratta	O
di	O
un	O
crimine	O
contro	O
l'	O
umanità	O
.	O

Ancora	O
,	O
vi	O
è	O
il	O
riconoscimento	O
dello	O
stupro	O
di	O
guerra	O
come	O
strumento	O
di	O
pulizia	O
etnica	O
e	O
come	O
disegno	O
di	O
genocidio	O
,	O
con	O
uno	O
scopo	O
strategico	O
e	O
politico	O
,	O
come	O
arma	O
e	O
come	O
tattica	O
sistematica	O
per	O
destabilizzare	O
,	O
terrorizzare	O
,	O
umiliare	O
,	O
costringere	O
all'	O
abbandono	O
del	O
territorio	O
,	O
ridurre	O
all'	O
obbedienza	O
e	O
alla	O
sottomissione	O
e	O
attenzione	O
:	O
quest'	O
arma	O
non	O
riguarda	O
soltanto	O
donne	O
e	O
bambini	O
,	O
ma	O
può	O
riguardare	O
uomini	O
e	O
bambini	O
ridotti	O
in	O
schiavitù	O
,	O
perché	O
sono	O
tante	O
le	O
forme	B-STR
di	O
violenza	O
.	O

Per	O
secoli	O
,	O
lo	O
stupro	O
e	O
le	O
violenze	O
sessuali	O
sono	O
stati	O
considerati	O
un	O
sottoprodotto	O
delle	O
guerre	O
,	O
lo	O
definivano	O
un	O
danno	O
collaterale	O
subito	O
dalle	O
donne	O
,	O
lo	O
definivano	O
un	O
effetto	O
inevitabile	O
dei	O
conflitti	O
.	O

Dobbiamo	O
rovesciare	O
questa	O
prospettiva	O
,	O
questo	O
rito	O
antico	O
e	O
maledetto	O
,	O
che	O
si	O
è	O
rinnovato	O
nei	O
conflitti	O
moderni	O
e	O
asimmetrici	O
,	O
tra	O
attori	O
non	O
statuali	O
,	O
multidimensionali	O
,	O
in	O
guerriglie	O
interstatuali	O
,	O
che	O
hanno	O
reso	O
ancora	O
più	O
violenti	O
questi	O
strumenti	O
e	O
sono	O
andati	O
ancor	O
più	O
a	O
colpire	O
la	O
popolazione	O
civile	O
.	O

È	O
contro	O
questo	O
fenomeno	O
che	O
dobbiamo	O
assolutamente	O
emettere	O
una	O
condanna	O
.	O

Come	O
scrive	O
la	O
studiosa	O
franco	O
-	O
algerina	O
Karima	O
Guenivet	O
nel	O
suo	O
memorabile	O
libro	O
,	O
intitolato	O
«	O
Stupri	O
di	O
guerra	O
:	O
le	O
violenze	O
sessuali	O
come	O
nuova	O
arma	O
»	O
,	O
«	O
le	O
violenze	O
sessuali	O
sono	O
sempre	O
meno	O
una	O
conseguenza	O
della	O
guerra	O
e	O
sempre	O
più	O
un'	O
arma	B-ONT
utilizzata	O
a	O
fini	O
di	O
terrore	O
politico	O
,	O
di	O
sradicamento	O
di	O
un	O
gruppo	O
,	O
di	O
un	O
disegno	O
di	O
genocidio	O
e	O
di	O
una	O
volontà	O
di	O
epurazione	O
etnica	O
»	O
.	O

La	O
realtà	O
è	O
drammaticamente	O
questa	O
.	O

Vedete	O
,	O
onorevoli	O
colleghi	O
,	O
questa	O
è	O
l'	O
arma	B-ONT
di	O
ieri	O
,	O
di	O
sempre	O
e	O
speriamo	O
non	O
di	O
domani	O
,	O
che	O
usano	O
alcuni	O
vincitori	O
contro	O
i	O
vinti	O
,	O
che	O
usano	O
alcuni	O
invasori	O
contro	O
gli	O
invasi	O
.	O

È	O
una	O
forma	O
di	O
prepotenza	O
ed	O
è	O
diventata	O
un'	O
arma	B-ONT
strategica	O
.	O

Le	O
violenze	O
sulle	O
donne	O
e	O
sulle	O
bambine	O
,	O
ma	O
anche	O
sugli	O
uomini	O
e	O
sui	O
bambini	O
,	O
insomma	O
sui	O
vinti	O
e	O
sugli	O
invasi	O
,	O
qualunque	O
sia	O
il	O
contesto	O
,	O
sono	O
una	O
forma	O
orrenda	O
che	O
va	O
condannata	O
come	O
atto	O
che	O
viola	O
i	O
diritti	O
umani	O
fondamentali	O
e	O
il	O
diritto	O
umanitario	O
internazionale	O
e	O
come	O
atto	O
inqualificabile	O
,	O
quando	O
diventa	O
anche	O
una	O
strategia	O
di	O
guerra	O
.	O

Questo	O
è	O
il	O
nodo	O
,	O
ormai	O
ineludibile	O
nelle	O
questioni	O
internazionali	O
,	O
della	O
sicurezza	O
umana	O
:	O
donne	O
,	O
pace	O
e	O
sicurezza	O
,	O
per	O
restituire	O
a	O
questo	O
dignità	O
di	O
diritto	O
umano	O
internazionale	O
.	O

